Container Number,Repacking Date,WH,Raw material ,Procesisng Type,Processing Type EN,Rpin,Pallets Number,Count of CartonsBins,Total Carton Weight KG,Total Bin Weight KG,FG ,FG Carton,Defects KG,Rotted KG,Month,Week,RM Code,RM Des,FG Code,FG Des,Unitcarton,Cartonpallet,Unitpallet,Act FG KG,FG STD KG,Material STD KG,Shrinkage Kgs,Over-weight kgs,Juice Apple kg,Packout,Shrinkage Kgs%,Over-weight kgs%,Juice Apple kg%,DATE&RPIN,Container&RPIN,Repacking Date&WH,Remark,????KG?,Defects KG ??
TTNU8835302,28/05/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062500289587
00394198062500302569
00394198062500302651
00394198062500302712
00394198062500302729",15,0,5160KG,LFP ????,402,1579KG,33Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,3548KG,9.72,360,-240KG,0KG,"1,612",68.76%,5%,0%,31%,250528R1580,TTNU8835302R1580,20250528SZ,,,
TTNU8835302,28/05/2025,SZ,52-63mm Mixed bin ????,??,repacking,R2329,00394198062500447086,3,0,1038KG,LFP ????,80,316KG,6.5Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,715.5KG,9.72,360,-42KG,0KG,323,68.93%,4%,0%,31%,250528R2329,TTNU8835302R2329,20250528SZ,,,
OERU4196708,28/05/2025,SZ,63/5T Rocki,??,Rework,R1149,25038730,64,449.9,5120,63/5T Rocki,50,1120,,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-670.08KG,7.03,7.03,0KG,0KG,"1,120",78.13%,0%,0%,22%,250528R1149,OERU4196708R1149,20250528SZ,???,0.088,98.56
OERU4196708,28/05/2025,SZ,63/5T Rocki,??,Rework,R1149,25038730,112,787.4,8960,63/5T Rocki,370,1250,,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-462.64KG,7.03,7.03,0KG,0KG,"1,250",86.05%,0%,0%,14%,250528R1149,OERU4196708R1149,20250528SZ,??,0.088,110
"TTNU8676849
CXRU1485982",28/05/2025,SZ,63/5T Rocki,??,Rework,R2900,"25038631
25014543",224,1574.7,17920,63/5T Rocki,370,2500,,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-925.28KG,7.03,7.03,0KG,0KG,"2,500",86.05%,0%,0%,14%,250528R2900,"TTNU8676849
CXRU1485982R2900",20250528SZ,??,0.088,220
CXRU1485982,28/05/2025,SZ,63/5T Rocki,??,Rework,R2919,"25014611
25013614",94,660.8,7520,63/5T Rocki,370,1049,,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-388.18KG,7.03,7.03,0KG,0KG,"1,049",86.05%,0%,0%,14%,250528R2919,CXRU1485982R2919,20250528SZ,??,0.088,92.312
"CGMU5143516
TTNU8056236
MNBU4526661
MNBU4478394",29/05/2025,SH,63/5T Rocki,??,Rework,"R2710
R1262
R2580
R2900
R2919","25030543
25028458
25030673
25030628
25031052
25028397
25027666",688,4836.6,55040,63/5T Rocki,599,7120KG,0Kg,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-2283.36KG,7.03,7.03,0KG,0KG,"7,120",87.06%,0%,0%,13%,"250529R2710
R1262
R2580
R2900
R2919","CGMU5143516
TTNU8056236
MNBU4526661
MNBU4478394R2710
R1262
R2580
R2900
R2919",20250529SH,??,0.088,626.56
CGMU9406143,29/05/2025,SZ,53-58mm Mixed bin ????,??,repacking,R2929,"00394219037825017858
00394219037825018053",3,0,1026KG,SFP ????,120,189KG,14Kg,5,Wk22,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,823KG,6.63,360,-54KG,27.4KG,203,77.54%,5%,3%,20%,250529R2929,CGMU9406143R2929,20250529SZ,,,
"TTNU8676849
SEGU9532641
OTPU6560955
CGMU5573688",29/05/2025,SZ,63/5T Rocki,??,Rework,"R2900
R1232
R2786
R2946
R1159
R2919
R2929","25014635
25040955
25041693
25051098
25039072
25039072",672,4724.2,53760,63/5T Rocki,562,8800,0,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-4075.84KG,7.03,7.03,0KG,0KG,"8,800",83.63%,0%,0%,16%,"250529R2900
R1232
R2786
R2946
R1159
R2919
R2929","TTNU8676849
SEGU9532641
OTPU6560955
CGMU5573688R2900
R1232
R2786
R2946
R1159
R2919
R2929",20250529SZ,??,0.088,774.4
OTPU6560955,30/05/2025,SZ,72mm Z Pack Tray,??,repacking,"R1021
R2934","25032684
25032370",98,0,1623,72/4,196,299,0,5,Wk22,ROC1201072120,Rockit Apple 72mm Tray (72/0),ROC04812472120,Rockit Apple 72/4 424g,12,128,1536,1324.176KG,6.08,16.5,0KG,132.496KG,299,73.43%,0%,8%,18%,"250530R1021
R2934","OTPU6560955R1021
R2934",20250530SZ,,,
TEMU9321455,30/05/2025,SZ,63/5  Rocki,??,Rework,R2934,25032271,116,705.3,9280,63/5  Rocki,100,1280,0,5,Wk22,RK108016563195,Rockit Apple 63/5 Normal Rocki,RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,-574.72KG,6.08,6.08,0KG,0KG,"1,280",86.21%,0%,0%,14%,250530R2934,TEMU9321455R2934,20250530SZ,??,0.0778,99.584
"CGMU8028178
CXRU1485982",30/05/2025,SZ,63/5T Rocki,??,Rework,"
R2919
","25013249
25013249",224,1574.7,17920,63/5T Rocki,179,3600,0,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-2025.28KG,7.03,7.03,0KG,0KG,"3,600",79.91%,0%,0%,20%,"250530
R2919
","CGMU8028178
CXRU1485982
R2919
",20250530SZ,???,0.088,316.8
CGMU5623449,30/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062500310373
00394198062500310380
00394198062500312322",9,0,3014KG,LFP ????,210,1142KG,5Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,1867KG,9.72,360,-226KG,0KG,"1,147",61.94%,7%,0%,38%,250530R1580,CGMU5623449R1580,20250530SH,,,
SZLU9585917,31/05/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062500310359
00394198062500319208
00394198062500319093
00394198062500289693
00394198062500312315",14,0,4790KG,LFP ????,401,794.5KG,15Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,3980.5KG,9.72,360,-250KG,82.78KG,810,81.37%,5%,2%,17%,250531R1580,SZLU9585917R1580,20250531SZ,,,
TLLU1059606,31/05/2025,SH,72mm Z Pack Tray,??,repacking,"R1230
R1936","25017377
25018114
25021701",117,0,1938,72/4,252,247,0,5,Wk22,ROC1201072120,Rockit Apple 72mm Tray (72/0),ROC04812472120,Rockit Apple 72/4 424g,12,128,1536,1690.632KG,6.08,16.5,0KG,158.472KG,247,79.08%,0%,8%,13%,"250531R1230
R1936","TLLU1059606R1230
R1936",20250531SH,,,
"TTNU8056236
MNBU4526661",31/05/2025,SH,63/5T Rocki,??,Rework,R1262,"25028458
25028564",130,913.9,10400,63/5T Rocki,111,1520,0,5,Wk22,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-606.1KG,7.03,7.03,0KG,0KG,"1,520",85.38%,0%,0%,15%,250531R1262,"TTNU8056236
MNBU4526661R1262",20250531SH,??,0.088,133.76
CGMU5623449,31/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062500314425
00394198062500317969
00394198062500317976
00394198062500370438
00394198062500373507",15,0,5190KG,LFP ????,318,2073KG,15Kg,5,Wk22,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,3102KG,9.72,360,-210KG,11.04KG,"2,088",59.56%,4%,0%,40%,250531R1580,CGMU5623449R1580,20250531SH,,,
CGMU9406143,1/06/2025,SZ,53-58mm Mixed bin ????,??,repacking,R2929,00394219037825018053,3,0,1044KG,SFP ????,108,205KG,7Kg,6,Wk23,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,832KG,6.63,360,-36KG,115.96KG,212,68.59%,3%,11%,20%,250601R2929,CGMU9406143R2929,20250601SZ,,,
CGMU9406143,1/06/2025,SZ,53-58mm Mixed bin ????,??,repacking,R2900,00394219037825015229,1,0,349KG,SFP ????,34,78KG,3Kg,6,Wk23,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,268KG,6.63,360,-11KG,42.58KG,81,64.59%,3%,12%,23%,250601R2900,CGMU9406143R2900,20250601SZ,,,
CGMU9406143,1/06/2025,SZ,53-58mm Mixed bin ????,??,repacking,R2919,"00394219037825013164
00394219037825013232
00394219037825015229",9,0,3148KG,SFP ????,319,925KG,23Kg,6,Wk23,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,2200KG,6.63,360,-92KG,85.03KG,948,67.18%,3%,3%,30%,250601R2919,CGMU9406143R2919,20250601SZ,,,
CGMU9406143,1/06/2025,SZ,53-58mm Mixed bin ????,??,repacking,R1230,00394219037825015731,1,0,348KG,SFP ????,27,140KG,2Kg,6,Wk23,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,206KG,6.63,360,-12KG,26.99KG,142,51.44%,3%,8%,41%,250601R1230,CGMU9406143R1230,20250601SZ,,,
"TEMU9321455
CGMU5573688
SZLU9492861
FBIU5112697
SEGU9532641
CGMU8006311",1/06/2025,SZ,63/5T Rocki,??,Rework,"R2900
R1262
R2929
R2919
R2936
R2934","25030192
25040313
25018862
25039355
25019173
25039119
25037917
25037696",860,6045.8,68800,63/5T Rocki,731,10320,0,6,Wk23,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-4274.2KG,7.03,7.03,0KG,0KG,"10,320",85.00%,0%,0%,15%,"250601R2900
R1262
R2929
R2919
R2936
R2934","TEMU9321455
CGMU5573688
SZLU9492861
FBIU5112697
SEGU9532641
CGMU8006311R2900
R1262
R2929
R2919
R2936
R2934",20250601SZ,??,0.088,908.16
MNBU3808911,1/06/2025,SH,63mmT bin,??,repacking,R1580,"00394198062500379646
00394198062500379820",6,0,2082KG,63/3 177g,344,280KG,2.7Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),Rockit Apple 63/3,Rockit Apple 63/3 177g,16,176,2816,1799.3KG,3.98,360,-78KG,430.18KG,283,65.76%,4%,21%,14%,250601R1580,MNBU3808911R1580,20250601SH,,,
MNBU3808911,1/06/2025,SH,63mmT bin,??,repacking,R1149,00394198062500406687,2,0,694KG,63/3 177g,114,94KG,0.8Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),Rockit Apple 63/3,Rockit Apple 63/3 177g,16,176,2816,599.2KG,3.98,360,-26KG,145.48KG,95,65.38%,4%,21%,14%,250601R1149,MNBU3808911R1149,20250601SH,,,
MNBU3808911,1/06/2025,SH,63mmT bin,??,repacking,R2872,00394198062500406687,1,0,347KG,63/3 177g,57,47KG,0.5Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),Rockit Apple 63/3,Rockit Apple 63/3 177g,16,176,2816,299.5KG,3.98,360,-13KG,72.64KG,48,65.38%,4%,21%,14%,250601R2872,MNBU3808911R2872,20250601SH,,,
CGMU5623449,1/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R2879,"00394198062500287774
00394198062500287781
00394198062500287828",9,0,3114KG,LFP ????,198,1100KG,7Kg,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,2007KG,9.72,360,-126KG,82.44KG,"1,107",61.80%,4%,3%,36%,250601R2879,CGMU5623449R2879,20250601SH,,,
CGMU5623449,1/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R1230,"00394198062500260364
00394198062500260371",6,0,2083KG,LFP ????,141,684KG,2Kg,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,1397KG,9.72,360,-77KG,26.48KG,686,65.80%,4%,1%,33%,250601R1230,CGMU5623449R1230,20250601SH,,,
TEMU9322282,2/06/2025,SZ,63/5  Rocki,??,Rework,"R2124
R2919
R2534","25022654
25023415
25021916",383,2328.6,30640,63/5  Rocki,303,6400,0,6,Wk23,RK108016563195,Rockit Apple 63/5 Normal Rocki,RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,-4071.36KG,6.08,6.08,0KG,0KG,"6,400",79.11%,0%,0%,21%,"250602R2124
R2919
R2534","TEMU9322282R2124
R2919
R2534",20250602SZ,??,0.0778,497.92
CGMU5427596,2/06/2025,SZ,63mmT bin,??,repacking,R1149,401774,3,0,1044KG,63/2 120g,158,293KG,5Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),63/2 120g,Rockit Apple 63/2 120g,24,176,4224,746KG,2.88,360,-36KG,290.96KG,298,43.59%,3%,28%,29%,250602R1149,CGMU5427596R1149,20250602SZ,,,
PCIU6141958,2/06/2025,SZ,63mmT bin,??,repacking,R2919,"00394198062500428238
00394198062500431696
00394198062500432204",7,0,2422KG,63/2 120g,375,647KG,15Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),63/2 120g,Rockit Apple 63/2 120g,24,176,4224,1760KG,2.88,360,-98KG,680KG,662,44.59%,4%,28%,27%,250602R2919,PCIU6141958R2919,20250602SZ,,,
TEMU9322282,3/06/2025,SZ,63/5  Rocki,??,Rework,"R2534
R2919
R2124","25021855
25021633
25022661
25013355
25022586
25021787
25022692
25022081",944,5739.5,75520,63/5  Rocki,765,14320,0,6,Wk23,RK108016563195,Rockit Apple 63/5 Normal Rocki,RK108016563195,Rockit Apple 63/5 Normal Rocki,16,128,2048,-8580.48KG,6.08,6.08,0KG,0KG,"14,320",81.04%,0%,0%,19%,"250603R2534
R2919
R2124","TEMU9322282R2534
R2919
R2124",20250603SZ,??,0.0778,1114.096
PCIU6141958,3/06/2025,SZ,63mmT bin,??,repacking,R2919,00394198062500428000,2,0,696KG,63/2 120g,80,300.8KG,3.2Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),63/2 120g,Rockit Apple 63/2 120g,24,176,4224,392KG,2.88,360,-24KG,161.6KG,304,33.10%,3%,23%,44%,250603R2919,PCIU6141958R2919,20250603SZ,,,
MNBU3808911,3/06/2025,SH,63mmT bin,??,repacking,R2329,00394198062500447208,2,0,692KG,63/2 120g,107,221KG,3.1Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),63/2 120g,Rockit Apple 63/2 120g,24,176,4224,467.9KG,2.88,360,-28KG,159.74KG,224,44.53%,4%,23%,32%,250603R2329,MNBU3808911R2329,20250603SH,,,
MNBU3808911,3/06/2025,SH,63mmT bin,??,repacking,R2919,00394198062500418765,3,0,1038KG,63/2 120g,160,331KG,5.2Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),63/2 120g,Rockit Apple 63/2 120g,24,176,4224,701.8KG,2.88,360,-42KG,241KG,336,44.39%,4%,23%,32%,250603R2919,MNBU3808911R2919,20250603SH,,,
MNBU3808911,3/06/2025,SH,63mmT bin,??,repacking,R2329,"00394198062500447246
00394198062500449660
00394198062500450741",7,0,2429KG,63/2 120g,375,773KG,7.1Kg,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),63/2 120g,Rockit Apple 63/2 120g,24,176,4224,1648.9KG,2.88,360,-91KG,568.9KG,780,44.46%,4%,23%,32%,250603R2329,MNBU3808911R2329,20250603SH,,,
"TTNU8434995
MNBU4526661",3/06/2025,SH,63/5T Rocki,??,Rework,"R2947
R2886
R1262
R2929","25035609
25036088
25034312
25028564",376,2643.3,30080,63/5T Rocki,310,5280,,6,Wk23,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-2636.72KG,7.03,7.03,0KG,0KG,"5,280",82.45%,0%,0%,18%,"250603R2947
R2886
R1262
R2929","TTNU8434995
MNBU4526661R2947
R2886
R1262
R2929",20250603SH,??,0.088,464.64
CGMU5623449,3/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R2879,"00394198062500287835
00394198062500287859",6,0,2088KG,LFP ????,129,804KG,8.2Kg,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,1275.8KG,9.72,360,-75.6KG,21.92KG,812,60.05%,4%,1%,39%,250603R2879,CGMU5623449R2879,20250603SH,,,
CGMU5623449,4/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R2879,"00394198062500287880
00394198062500287910",6,0,2080,SFP ????,230,590,10,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,1480KG,6.63,360,-80KG,0KG,600,71.15%,4%,0%,29%,250604R2879,CGMU5623449R2879,20250604SH,,,
CGMU5427596,4/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R2900,"00394219037825011610
00394219037825011689",5,0,1235,SFP ????,168,650,12,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,573KG,6.63,360,-565KG,0KG,662,46.40%,46%,0%,54%,250604R2900,CGMU5427596R2900,20250604SH,,,
CGMU5427596,4/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R1230,00394219037825011610,1,0,344,SFP ????,62,116,1.6,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,226.4KG,6.63,360,-16KG,0KG,118,65.81%,5%,0%,34%,250604R1230,CGMU5427596R1230,20250604SH,,,
"TTNU8056236
MNBU4079706
TTNU8434995",4/06/2025,SH,63/5T Rocki,??,Rework,"R2929
R1580
R1262
R2919
R2447","25028533
25051876
25035449
25029592
25036132
25036156
25036088",601,4225,48080,63/5T Rocki,516,6800,0,6,Wk23,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-2574.97KG,7.03,7.03,0KG,0KG,"6,800",85.86%,0%,0%,14%,"250604R2929
R1580
R1262
R2919
R2447","TTNU8056236
MNBU4079706
TTNU8434995R2929
R1580
R1262
R2919
R2447",20250604SH,??,0.088,598.4
SZLU9585917,4/06/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062500302767
00394198062500306772
00394198062500306789
00394198062500306796
00394198062500309049",14,0,4858,LFP ????,350,1551,28,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,3279KG,9.72,360,-182KG,0KG,"1,579",67.50%,4%,0%,33%,250604R1580,SZLU9585917R1580,20250604SZ,,,
SZLU9585917,4/06/2025,SZ,52-63mm Mixed bin ????,??,repacking,R2879,00394198062500287743,3,0,1047,LFP ????,76,258,6,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,783KG,9.72,360,-33KG,44.28KG,264,70.56%,3%,4%,25%,250604R2879,SZLU9585917R2879,20250604SZ,,,
"CGMU8006311
FBIU5066349
SEGU9583968
TEMU9321455",5/06/2025,SZ,63/5T Rocki,??,Rework,"R2919
R2934
R1580
R2947
R2900","25013454
25037696
25039584
25035371
25034343
25030086",545,3831.4,43600,63/5T Rocki,438,8560,0,6,Wk23,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-4728.65KG,7.03,7.03,0KG,0KG,"8,560",80.37%,0%,0%,20%,"250605R2919
R2934
R1580
R2947
R2900","CGMU8006311
FBIU5066349
SEGU9583968
TEMU9321455R2919
R2934
R1580
R2947
R2900",20250605SZ,???,0.088,753.28
"MNBU4079706
TTNU8434995
CGMU5143516
TTNU8056236",5/06/2025,SH,63/5T Rocki,??,Rework,"R1262
R2952
R2886
R2954
R2919
R2447
R2900
R2732","25051715
25035685
25035920
25051937
25035791
25035944
25029103
25030598
25029141
25029257
25029349
25028533
25030772
25029523",1463,10284.9,117040,63/5T Rocki,1266,15760,0,6,Wk23,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-5475.11KG,7.03,7.03,0KG,0KG,"15,760",86.53%,0%,0%,13%,"250605R1262
R2952
R2886
R2954
R2919
R2447
R2900
R2732","MNBU4079706
TTNU8434995
CGMU5143516
TTNU8056236R1262
R2952
R2886
R2954
R2919
R2447
R2900
R2732",20250605SH,??,0.088,1386.88
SZLU9585917,6/06/2025,SZ,52-63mm Mixed bin ????,??,repacking,R1580,"00319192
00306796
00306772
00319079",11,0,3806,LFP ????,262,1203.517857,27.37232143,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,2575.109821KG,9.72,360,-154KG,28.46982143KG,"1,231",66.91%,4%,1%,32%,250606R1580,SZLU9585917R1580,20250606SZ,,,
SZLU9585917,6/06/2025,SZ,52-63mm Mixed bin ????,??,repacking,R2879,00287750,3,0,1037,LFP ????,72,322.5,5.63,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,708.87KG,9.72,360,-43KG,9.03KG,328,67.49%,4%,1%,32%,250606R2879,SZLU9585917R2879,20250606SZ,,,
CGMU9406143,6/06/2025,SZ,53-58mm Mixed bin ????,??,repacking,R2919,25013232,1,0,348,LFP ????,25,95,1.875,6,Wk23,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,251.125KG,9.72,360,-12KG,8.125KG,97,69.83%,3%,2%,28%,250606R2919,CGMU9406143R2919,20250606SZ,,,
CGMU9406143,6/06/2025,SZ,53-58mm Mixed bin ????,??,repacking,R1230,25015731,2,0,690,LFP ????,47,212.9411765,3.529411765,6,Wk23,ROC25312280140253,Rockit Apple Mixed 53-58mm Export Bin (140/0W),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,473.5294118KG,9.72,360,-30KG,16.68941176KG,216,66.21%,4%,2%,31%,250606R1230,CGMU9406143R1230,20250606SZ,,,
SEGU9583968,6/06/2025,SZ,67/5 Rocki,??,Rework,,,224,1758.4,17920,67/5 Rocki,152,5760,0,6,Wk23,RK107515567170,Rockit Apple 67/5 Rocki,RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,-4001.6KG,7.85,7.85,0KG,0KG,"5,760",67.86%,0%,0%,32%,250606,SEGU9583968,20250606SZ,JD,0.111,639.36
CGMU5427596,6/06/2025,SZ,67/5 Rocki,??,Rework,,,212,1664.2,16960,67/5 Rocki,144,5440,0,6,Wk23,RK107515567170,Rockit Apple 67/5 Rocki,RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,-3775.8KG,7.85,7.85,0KG,0KG,"5,440",67.92%,0%,0%,32%,250606,CGMU5427596,20250606SZ,???,0.111,603.84
MSDU9880000,6/06/2025,SZ,67/5 Rocki,??,Rework,,,170,1334.5,13600,67/5 Rocki,115,4400,0,6,Wk23,RK107515567170,Rockit Apple 67/5 Rocki,RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,-3065.5KG,7.85,7.85,0KG,0KG,"4,400",67.65%,0%,0%,32%,250606,MSDU9880000,20250606SZ,????,0.111,488.4
CGMU5355198,6/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R1173,00394198062500840795,1,0,348,LFP ????,18,152,2,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,194KG,9.72,360,-12KG,19.04KG,154,50.28%,3%,5%,44%,250606R1173,CGMU5355198R1173,20250606SH,,,
CGMU5355198,6/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R2534,00394198062500840795,2,0,698,LFP ????,39,292,3,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,403KG,9.72,360,-22KG,23.92KG,295,54.31%,3%,3%,42%,250606R2534,CGMU5355198R2534,20250606SH,,,
CGMU5355198,6/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R1149,"00394198062500838464
00394198062500838518
00394198062500839010
00394198062500839386",10.19,0,3556,LFP ????,252,1080,15,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,2461KG,9.72,360,-112.4KG,11.56KG,"1,095",68.88%,3%,0%,31%,250606R1149,CGMU5355198R1149,20250606SH,,,
MNBU3808911,6/06/2025,SH,63mmT bin,??,repacking,R2329,"00394198062500450741
00394198062500450765",6,0,2089,63/2 120g,355,551,12,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),63/2 120g,Rockit Apple 63/2 120g,24,176,4224,1526KG,2.88,360,-71KG,503.6KG,563,48.94%,3%,24%,27%,250606R2329,MNBU3808911R2329,20250606SH,,,
MNBU3808911,7/06/2025,SH,63mmT bin,??,repacking,R2919,00394198062500432266,3,0,1047,63/2 120g,165,282.8823529,6,6,Wk23,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),63/2 120g,Rockit Apple 63/2 120g,24,176,4224,758.1176471KG,2.88,360,-33KG,282.9176471KG,289,45.39%,3%,27%,28%,250607R2919,MNBU3808911R2919,20250607SH,,,
CGMU5355198,7/06/2025,SH,52-63mm Mixed bin ????,??,repacking,R1149,00394198062500839386,1.81,0,630,LFP ????,38,230,5,6,Wk23,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,395KG,9.72,360,-21.6KG,25.64KG,235,58.63%,3%,4%,37%,250607R1149,CGMU5355198R1149,20250607SH,,,
