Container Number,Repacking Date,WH,Raw material ,Procesisng Type,Processing Type EN,Rpin,Pallets Number,Count of CartonsBins,Total Carton Weight KG,Total Bin Weight KG,FG ,FG Carton,Defects KG,Rotted KG,Month,Week,RM Code,RM Des,FG Code,FG Des,Unitcarton,Cartonpallet,Unitpallet,Act FG KG,FG STD KG,Material STD KG,Shrinkage Kgs,Over-weight kgs,Juice Apple kg,Packout,Shrinkage Kgs%,Over-weight kgs%,Juice Apple kg%,DATE&RPIN,Container&RPIN,Repacking Date&WH,Remark,????KG?,Defects KG ??
CXRU1485982,19/05/2025,SZ,63/5T Rocki,??,Rework,R2900,25038495,112,787.4,8960,63/5T Rocki,323,1500,0,5,Wk21,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-712.64KG,7.03,7.03,0KG,0KG,"1,500",83.26%,0%,0%,17%,250519R2900,CXRU1485982R2900,20250519SZ,??,0.088,132
OERU4196708,19/05/2025,SZ,63/5T Rocki,??,Rework,R1149,25038679,112,787.4,8960,63/5T Rocki,323,1500,0,5,Wk21,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-712.64KG,7.03,7.03,0KG,0KG,"1,500",83.26%,0%,0%,17%,250519R1149,OERU4196708R1149,20250519SZ,??,0.088,132
OERU4196708,19/05/2025,SZ,63/5T Rocki,??,Rework,R2919,"25038723
25013683",224,1574.7,17920,63/5T Rocki,323,3000,0,5,Wk21,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-1425.28KG,7.03,7.03,0KG,0KG,"3,000",83.26%,0%,0%,17%,250519R2919,OERU4196708R2919,20250519SZ,??,0.088,264
"OTPU6560955

TEMU9321455
CGMU8028178",20/05/2025,SZ,63/5T Rocki,??,Rework,"R1230

R1811
R2934","25047367

25049811
25031700",182,1279.5,14560,63/5T Rocki,358,3820,0,5,Wk21,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-2540.54KG,7.03,7.03,0KG,0KG,"3,820",73.76%,0%,0%,26%,"250520R1230

R1811
R2934","OTPU6560955

TEMU9321455
CGMU8028178R1230

R1811
R2934",20250520SZ,OLE,0.088,336.16
OERU4077210,20/05/2025,SZ,72mm Z Pack Tray,??,repacking,R1580,"00423370
00282922",44,0,729,72/4,91,116,0,5,Wk21,ROC1201072120,Rockit Apple 72mm Tray (72/0),ROC04812472120,Rockit Apple 72/4 424g,12,128,1536,612.816KG,6.08,16.5,0KG,59.536KG,116,75.93%,0%,8%,16%,250520R1580,OERU4077210R1580,20250520SZ,,,
SEGU9973380,20/05/2025,SZ,67/5 Rocki,??,Rework,"R2934
R2919
R1580","25059551
25061165",281,2205.9,21075,67/5 Rocki,224,4275,0,5,Wk21,RK107515567170,Rockit Apple 67/5 Rocki,RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,-2069.15KG,7.85,7.85,0KG,0KG,"4,275",79.72%,0%,0%,20%,"250520R2934
R2919
R1580","SEGU9973380R2934
R2919
R1580",20250520SZ,??,0.111,474.525
"TEMU9321455
OTPU6560955",21/05/2025,SZ,67/5 Rocki,??,Rework,"R2934
R2919","25031700
25050893",208,1632.8,16640,67/5 Rocki,467,2630,0,5,Wk21,RK107515567170,Rockit Apple 67/5 Rocki,RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,-997.2KG,7.85,7.85,0KG,0KG,"2,630",84.19%,0%,0%,16%,"250521R2934
R2919","TEMU9321455
OTPU6560955R2934
R2919",20250521SZ,??,0.111,291.93
"MSDU9880000
SEGU9973380",21/05/2025,SZ,67/5 Rocki,??,Rework,"R1580
R2926
R2329","25061165
25054846",209,1640.7,15675,67/5 Rocki,162,3525,0,5,Wk21,RK107515567170,Rockit Apple 67/5 Rocki,RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,-1884.35KG,7.85,7.85,0KG,0KG,"3,525",77.51%,0%,0%,22%,"250521R1580
R2926
R2329","MSDU9880000
SEGU9973380R1580
R2926
R2329",20250521SZ,JD,0.111,391.275
"CGMU5573688
SEGU9532641
OERU4196708
PCIU6070176
FBIU5112697",21/05/2025,SZ,63/5T Rocki,??,Rework,"R2900
R1149
R1232
R2919","25038440
25039300
25040757
25039553
25034381
25051135
25018077
25039867",800,5624,64000,63/5T Rocki,675,10000,0,5,Wk21,RK108016563117,Rockit Apple 63/5T Rocki,RK108016563117,Rockit Apple 63/5T Rocki,16,112,1792,-4376KG,7.03,7.03,0KG,0KG,"10,000",84.38%,0%,0%,16%,"250521R2900
R1149
R1232
R2919","CGMU5573688
SEGU9532641
OERU4196708
PCIU6070176
FBIU5112697R2900
R1149
R1232
R2919",20250521SZ,??,0.088,880
MNBU9063718,23/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062570950008
00394198062570810007
00394198062570950010
00394198062570810008
00394198062570950009
00394198062570810009
00394198062579710010
00394198062579640001
00394198062579880002
00394198062581440002
00394198062581440003
00394198062579640005
00394198062579640004
00394198062579640006
00394198062581440001",15,0,5022KG,LFP ????,317,1935.5KG,0Kg,5,Wk21,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,3086.5KG,9.72,360,-378KG,5.26KG,"1,936",61.35%,8%,0%,39%,250523R1580,MNBU9063718R1580,20250523SH,,,
TLLU1059606,24/05/2025,SH,72mm Z Pack Tray,??,repacking,"R1262
R1936
R2929","25024337
25017698
25018114",54,0,894,72/4,128,172,2,5,Wk21,ROC1201072120,Rockit Apple 72mm Tray (72/0),ROC04812472120,Rockit Apple 72/4 424g,12,128,1536,720.028KG,6.08,16.5,0KG,0KG,174,80.52%,0%,0%,19%,"250524R1262
R1936
R2929","TLLU1059606R1262
R1936
R2929",20250524SH,,,
OERU4077210,24/05/2025,SH,63mmT bin,??,repacking,R2329,00394198062593410007,1,0,341KG,63/3 177g,61,26KG,1Kg,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),Rockit Apple 63/3,Rockit Apple 63/3 177g,16,176,2816,314KG,3.98,360,-19KG,71.22KG,27,71.20%,6%,21%,8%,250524R2329,OERU4077210R2329,20250524SH,,,
OERU4077210,24/05/2025,SH,63mmT bin,??,repacking,R1580,"00394198062569380005
00394198062570870002
00394198062570870003
00394198062570050006
00394198062569380004",5,0,1705KG,63/3 177g,308,130KG,5Kg,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),Rockit Apple 63/3,Rockit Apple 63/3 177g,16,176,2816,1570KG,3.98,360,-95KG,344.16KG,135,71.90%,6%,20%,8%,250524R1580,OERU4077210R1580,20250524SH,,,
MNBU3808911,24/05/2025,SH,63mmT bin,??,repacking,R1580,"00394198062500360873
00394198062500360934
00394198062500367322",9,0,3034.5KG,67/5 Rocki,330,776KG,3Kg,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,2255.5KG,7.85,360,-205.5KG,0KG,779,74.33%,7%,0%,26%,250524R1580,MNBU3808911R1580,20250524SH,,,
