Repacking Date,Month,Week,WH,Raw material Code,Raw Des,Procesisng Type,Rpin,Container Number,Pallets Number,Count of Cartons/Bins,Total Bin Weight KG,Shrinkage Kgs,Shrinkage %,FG Code,FG Des,Units/carton,FG Specification,Carton/Pallet,FG Pallets,FG Carton,FG Unit,FG Weight,FG Standard Weight,Overweight KG,Defects KG,Rotted KG,Defect rate,Labor cost,FG Sample,Puntures,The Rate of Spoilted ,Bruise,The Rate of Cosmetic,JA Sample,Export Fruit,The Rate of Export Fruit,Remark,Processing Number,Juice Apple(KG),The Rate of Overweight KG,The Rate of Juice Apple(KG),Packout,Arrival Date,Arrival Date&Container Number,Container&RPIN,Month,DATE,Date&Rpin,Standard weight
17/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R1149,SEKU9135417,"00394198062500113226
00394198062500114070
00394198062500116531",9,3088KG,-152KG,-0.049222798KG,ROC144916165140,Large Family Pack,9,9??,44,6.022727273,265,2385,2970KG,1.082KG,389.43KG,112KG,6Kg,0.164323187Kg,"3,680.00",200,,,,,,,,,,118,12.61%,3.82%,83.57%,250315,250315SEKU9135417,SEKU9135417R1149,3,250317,250317R1149,9.738
18/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2919,SEGU9511952,"‘00394198062500104941
00394198062500104996
00394198062500105009
00394198062500105016
00394198062500108802",13,4445KG,-235KG,-0.052868391KG,ROC144916165140,Large Family Pack,9,9??,44,7.068181818,311,2799,3182KG,1.082KG,153.482KG,665KG,11Kg,0.186610124Kg,4255,300,,,,,,,,,,676,3.45%,15.21%,81.34%,250316,250316SEGU9511952,SEGU9511952R2919,3,250318,250318R2919,9.738
18/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2919,SEGU9511952,,,,0KG,,JWM 650g,JWM 650G,13,13??,64,0.96875,62,806,587KG,0KG,587KG,0KG,0Kg,,,,,,,,,,,,,0,,,100.00%,250316,250316SEGU9511952,SEGU9511952R2919,3,250318,250318R2919,0
19/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2886,SEGU9511952,"00394198062500105139
00394198062500105740
00394198062500106983
00394198062500106990
00394198062500108161
00394198062500108178
00394198062500108185
00394198062500108222
00394198062500108239
00394198062500108802
00394198062500108819
00394198062500108871",35,12181KG,-419KG,-0.034397833KG,ROC144916165140,Large Family Pack,9,9??,44,18.95454545,834,7506,7743KG,1.082KG,0KG,2500KG,35Kg,0.208110993Kg,11684,1200,,,,,,,,,,2535,0.00%,20.81%,79.19%,250316,250316SEGU9511952,SEGU9511952R2886,3,250319,250319R2886,9.738
19/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,,SEGU9511952,,,,0KG,,JWM 650g,JWM 650G,13,13??,64,1.921875,123,1599,1903,0KG,1903KG,0KG,0Kg,,,,,,,,,,,,,0,,,100.00%,250316,250316SEGU9511952,SEGU9511952,3,250319,250319,0
23/03/2025,3,13,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2886,SEGU9511952,"‘00394198062500108888
00394198062500108895
00394198062500108901
00394198062500108925",12,4129KG,-191KG,-0.046258174KG,ROC144916165140,Large Family Pack,9,9??,44,6.772727273,298,2682,2893KG,1.082KG,0KG,1223KG,13Kg,0.299346089Kg,4209,500,,,,,,,,,,1236,0.00%,29.93%,70.07%,250316,250316SEGU9511952,SEGU9511952R2886,3,250323,250323R2886,9.738
25/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,CGMU5559247,00394198062500172841,3,1023KG,-57KG,-0.055718475KG,ROC08016563117,63/5t,16,63*5T*16,112,1.107142857,124,1984,751.9KG,0.44KG,0KG,266.1,5Kg,0.265004888Kg,10120,30,,,,,,,,,,271.1,0.00%,26.50%,73.50%,250324,250324CGMU5559247,CGMU5559247R2919,3,250325,250325R2919,7.04
25/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2534,CGMU5559247,"00394198062500185650
00394198062500188552
00394198062500188590
00394198062500188606
00394198062500188637
00394198062500188699
00394198062500188705
00394198062500193006
00394198062500193037",27,9156KG,-564KG,-0.061598952KG,ROC08016563117,63/5t,16,63*5T*16,112,7.642857143,856,13696,6825.1KG,0.44KG,798.86KG,2294.9,36Kg,0.341826125Kg,,1100,,,,,,,,,,2330.9,8.72%,25.46%,65.82%,250324,250324CGMU5559247,CGMU5559247R2534,3,250325,250325R2534,7.04
25/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2534,CGMU5559247,,,2568KG,2568KG,,ROC07515567170,63/5t,16,63*5T*16,112,2.785714286,312,4992,2568KG,0.44KG,371.52KG,0,,0.144672897Kg,,100,,,,,,,,,,0,14.47%,0.00%,85.53%,250324,250324CGMU5559247,CGMU5559247R2534,3,250325,250325R2534,7.04
25/03/2025,3,13,SH,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R1230,CGMU5559247,00394198062500195727,3,1035KG,-45KG,-0.043478261KG,ROC08016563117,67/5,15,67/5*15,112,1.178571429,132,1980,764.9KG,0.555KG,0KG,266.1,4Kg,0.260966184Kg,,100,,,,,,,,,,270.1,0.00%,26.10%,73.90%,250324,250324CGMU5559247,CGMU5559247R1230,3,250325,250325R1230,8.325
